Student_ID,Subject,Score,Grade,Semester,Pass_Status
1,Math,75,C,Spring,True
1,Physics,89,C,Spring,True
1,History,43,D,Spring,True
1,English,66,B,Fall,True
2,Art,56,A,Fall,True
2,Math,51,A,Spring,True
2,Physics,61,C,Spring,True
2,History,56,C,Spring,False
3,English,49,A,Spring,True
3,Art,93,F,Spring,True
3,Math,40,A,Spring,True
3,Physics,61,C,Fall,True
4,History,65,C,Fall,True
4,English,95,D,Fall,True
4,Art,98,C,Spring,True
4,Math,57,D,Spring,True
5,Physics,89,B,Spring,True
5,History,53,D,Spring,True
5,English,86,A,Spring,False
5,Art,68,D,Spring,True
6,Math,51,C,Fall,True
6,Physics,75,D,Fall,True
6,History,98,B,Spring,True
6,English,74,C,Fall,True
7,Art,91,C,Spring,False
7,Math,51,C,Fall,True
7,Physics,46,A,Spring,True
7,History,68,A,Spring,True
8,English,50,B,Fall,True
8,Art,72,A,Fall,True
8,Math,45,D,Spring,True
8,Physics,86,B,Spring,False
9,History,54,F,Fall,True
9,English,71,B,Fall,True
9,Art,90,A,Spring,True
9,Math,50,C,Fall,True
10,Physics,97,C,Spring,True
10,History,62,B,Spring,True
10,English,65,C,Spring,True
10,Art,73,C,Spring,True
11,Math,85,B,Fall,True
11,Physics,73,F,Fall,True
11,History,68,F,Fall,False
11,English,43,C,Fall,True
12,Art,56,A,Fall,True
12,Math,74,C,Fall,True
12,Physics,52,A,Fall,False
12,History,80,A,Spring,False
13,English,78,B,Fall,True
13,Art,54,B,Fall,True
13,Math,94,D,Spring,True
13,Physics,68,C,Fall,True
14,History,68,C,Fall,True
14,English,50,B,Spring,True
14,Art,91,B,Fall,True
14,Math,71,B,Fall,True
15,Physics,41,F,Fall,True
15,History,86,A,Spring,True
15,English,53,D,Fall,True
15,Art,59,C,Fall,True
16,Math,61,B,Spring,True
16,Physics,50,C,Fall,True
16,History,66,B,Spring,True
16,English,42,D,Spring,False
17,Art,56,F,Fall,True
17,Math,83,B,Spring,True
17,Physics,95,B,Spring,True
17,History,67,C,Fall,True
18,English,68,F,Spring,True
18,Art,60,B,Spring,True
18,Math,86,C,Fall,False
18,Physics,55,C,Fall,True
19,History,76,C,Fall,False
19,English,98,A,Spring,False
